frame_num,timestamp,class,confidence,x1,y1,x2,y2
0,0.0,cat,0.5537051558494568,838.352783203125,311.98736572265625,1134.19091796875,669.1921997070312
0,0.0,cat,0.48629650473594666,486.0411376953125,80.9412841796875,1128.1263427734375,677.5413208007812
56,1.8666666666666667,cat,0.6282049417495728,475.9832763671875,71.06391906738281,1121.15380859375,678.6268310546875
56,1.8666666666666667,cat,0.41643109917640686,857.3954467773438,317.2760314941406,1120.4599609375,670.412353515625
57,1.9,cat,0.6292886137962341,475.638427734375,71.10432434082031,1121.3035888671875,679.0763549804688
57,1.9,cat,0.4040816128253937,856.6722412109375,317.4139404296875,1120.56298828125,670.8167724609375
58,1.9333333333333333,cat,0.6477420330047607,473.07220458984375,71.49640655517578,1121.8670654296875,678.5968017578125
58,1.9333333333333333,cat,0.3920465111732483,853.8521728515625,317.0882568359375,1120.94140625,670.3890991210938
59,1.9666666666666666,cat,0.5167050361633301,472.0024719238281,70.69756317138672,1122.275146484375,678.7843017578125
59,1.9666666666666666,cat,0.4447324872016907,853.796142578125,317.2032165527344,1120.6522216796875,670.707763671875
60,2.0,cat,0.6286048889160156,470.3075866699219,70.57064819335938,1122.232177734375,678.8936157226562
60,2.0,cat,0.39338138699531555,855.0076904296875,317.3177185058594,1120.7816162109375,671.1331787109375
6,0.2,cat,0.5603435635566711,844.5847778320312,313.322265625,1134.2509765625,669.0505981445312
6,0.2,cat,0.49306270480155945,485.6078186035156,80.10252380371094,1129.781005859375,677.80810546875
7,0.23333333333333334,cat,0.5186721682548523,843.7453002929688,313.4690246582031,1134.2593994140625,669.2545776367188
7,0.23333333333333334,cat,0.5884155035018921,486.02166748046875,80.05574798583984,1129.7674560546875,677.9585571289062
8,0.26666666666666666,cat,0.5496847629547119,842.5303344726562,313.7120056152344,1134.2550048828125,669.2554931640625
8,0.26666666666666666,cat,0.49428585171699524,485.8103942871094,80.00875091552734,1129.85986328125,677.938720703125
9,0.3,cat,0.5579318404197693,842.6973266601562,313.81353759765625,1134.2601318359375,669.1810302734375
9,0.3,cat,0.4723854064941406,485.4161376953125,79.95317840576172,1129.67822265625,677.9000854492188
10,0.3333333333333333,cat,0.5388602018356323,841.9664916992188,314.12890625,1133.1888427734375,669.0245971679688
10,0.3333333333333333,cat,0.5387569069862366,486.4680480957031,80.09817504882812,977.0528564453125,677.238525390625
66,2.2,cat,0.6320180296897888,461.00286865234375,69.73875427246094,965.2750244140625,679.4046020507812
66,2.2,cat,0.43123653531074524,858.4384765625,317.6154479980469,1121.0494384765625,671.922607421875
67,2.2333333333333334,cat,0.537736713886261,460.6180725097656,69.62287139892578,913.348388671875,678.9155883789062
67,2.2333333333333334,cat,0.41699880361557007,856.9426879882812,317.48089599609375,1121.0777587890625,671.8933715820312
68,2.2666666666666666,cat,0.6741248369216919,455.5853576660156,69.33966064453125,1056.792724609375,679.7041015625
68,2.2666666666666666,cat,0.41214653849601746,856.8880004882812,317.48492431640625,1121.173828125,672.1040649414062
69,2.3,cat,0.7108355760574341,454.5224609375,69.3879165649414,1098.947265625,680.2711181640625
69,2.3,cat,0.3789949417114258,857.8217163085938,317.71136474609375,1121.168701171875,672.5224609375
70,2.3333333333333335,cat,0.5085896253585815,457.1053466796875,67.48265075683594,977.1597290039062,679.848388671875
70,2.3333333333333335,cat,0.45252177119255066,858.2815551757812,317.7852783203125,1121.319580078125,672.6307983398438
16,0.5333333333333333,cat,0.3835062086582184,828.013916015625,318.9561767578125,1121.158447265625,669.8170166015625
16,0.5333333333333333,cat,0.6058225035667419,487.7328186035156,78.39830017089844,1117.0269775390625,677.931884765625
17,0.5666666666666667,cat,0.288914293050766,820.497314453125,320.3390808105469,1119.7454833984375,669.7733764648438
17,0.5666666666666667,cat,0.67449551820755,487.5205383300781,77.70250701904297,1123.919189453125,677.9549560546875
18,0.6,cat,0.2983956038951874,827.4752197265625,320.472900390625,1118.519287109375,669.7077026367188
18,0.6,cat,0.7218157649040222,484.99615478515625,78.24174499511719,1123.97216796875,677.8684692382812
19,0.6333333333333333,cat,0.33290261030197144,826.749267578125,321.0473327636719,1118.1614990234375,669.9505004882812
19,0.6333333333333333,cat,0.7347034215927124,484.3657531738281,77.76594543457031,1123.3746337890625,677.9718017578125
20,0.6666666666666666,cat,0.4449700713157654,828.1546630859375,320.50994873046875,1116.9256591796875,669.8256225585938
20,0.6666666666666666,cat,0.5686116218566895,486.5411071777344,73.95193481445312,1124.29150390625,678.3883666992188
76,2.533333333333333,cat,0.5537437796592712,455.5697326660156,69.63893127441406,1125.263427734375,681.1246948242188
76,2.533333333333333,cat,0.39774537086486816,860.162353515625,318.41192626953125,1121.9957275390625,673.3839111328125
77,2.566666666666667,cat,0.5925622582435608,458.33807373046875,69.27147674560547,982.8180541992188,680.8743896484375
77,2.566666666666667,cat,0.44671085476875305,858.7673950195312,318.1700744628906,1122.0648193359375,673.3450317382812
78,2.6,cat,0.5666621327400208,455.53167724609375,68.65934753417969,1081.699951171875,681.123779296875
78,2.6,cat,0.4349593222141266,857.750244140625,318.0041198730469,1122.1246337890625,673.3165893554688
